species,GB
Euphorbia lathyris,1.23
Ononis  repens,1.40
Orobanche hederae,2.76
Brassica oleracea,0.70
Impatiens noli-tangere,0.75
Circaea lutetiana,0.60
Atropa  belladonna,2.10
Papaver dubium,2.37
Fumaria officinalis,0.63
Euphorbia peplus,0.39
Holcus mollis,3.73
Urtica urens,0.50
Urtica dioica,1.20
Persicaria maculosa,1.69
Calystegia sepium,0.72
Lythrum salicaria,1.58
Lycopus europaeus,
Verbena officinalis,0.35
Arctium minus,2.07
Juncus effusus,0.29
Borago officinalis,1.60
Misopates orontium,0.49
Adiantum capillus-veneris,5.78
Asplenium scolopendrium,8.50
Medicago arabica,0.61
Eupatorium  cannabinum,2.68
Convolvulus arvensis,0.64
Stellaria media,1.14
Veronica chamaedrys,1.90
Osmunda regalis,14.21
Bryonia dioica,1.59
Fallopia convolvulus,0.68
Solanum dulcamara,1.21
Vicia cracca,8.61
Stachys palustris,1.72
Humulus lupulus,2.87
Rumex hydrolapathus,6.11
Filipendula ulmaria,0.39
Alnus glutinosa,0.56
Trollius europaeus,4.87
Calluna vulgaris,0.62
Helianthemum nummularium,
Saxifraga oppositifolia,1.54
Hippophae rhamnoides,1.46
Dianthus deltoides,0.47
Oxalis acetosella,2.79
Danthonia decumbens,2.25
Iris pseudacorus,5.94
Armeria maritima,4.52
Lotus corniculatus,1.33
Briza media,3.28
Salix lanata,0.44
Betula nana,0.53
Juniperus communis,10.98
Pteridium aquilinum,8.41
Blechnum spicant,7.39
Lycopodium clavatum,2.86
Myrica gale,0.30
Pinus sylvestris,22.75
Pulicaria dysenterica,1.07
Potentilla anserina,0.55
Arabidopsis thaliana,0.18
Chamaemelum nobile,4.82
Chaenorhinum minus,0.45
Dioscorea communis,1.29
Equisetum telmateia,14.08
Reynoutria japonica,4.86
Cakile maritima,0.85
Honckenya peploides,4.11
Crithmum maritimum,2.50
Mercurialis annua,0.69
Sambucus nigra,13.39
Daucus carota,0.55
Geum urbanum,1.61
Rumex sanguineus,0.86
Parietaria judaica,0.75
Onobrychis viciifolia,1.42
Ailanthus altissima,1.17
Ciceribita muralis,1.96
Bellis perennis,1.74
Plantago lanceolata,1.43
Linaria vulgaris,0.94
Hypericum perforatum,0.79
Tanacetum vulgare,5.09
Ligustrum vulgare,1.67
Linnaea borealis,0.98
Lathyrus japonicus,6.26
Taxus baccata,12.24
Cicerbita alpina,5.87
Succisa pratensis,2.72
Sorbus aucuparia,0.57
Erodium maritimum,0.93
Melampyrum sylvaticum,3.74
Ulmus glabra,2.10
Frangula alnus,0.51
Sorbus aucuparia,0.60
Athyrium distentifolium,7.73
Plagiomnium undulata,1.10
Kindbergia praelonga,0.41
Nymphoides peltata,0.86
Aponogeton distachyos,5.18
Pontederia cordata,0.68
Butomus umbellatus,4.25
Schoenoplectus lacustris,0.65
Fraxinus excelsior,0.91
Quercus petraea,0.99
Prunella vulgaris,0.71
Cornus sanguinea,1.27
Luzula sylvatica,0.26
Plantago lanceolata,1.44
Alnus glutinosa,0.53
Lamium album,0.95
Ballota nigra,1.42
Lysimachia vulgaris,2.26
Comarum palustre,0.68
Pulsatilla vulgaris,12.69
Thymus serpyllum,1.24
Geum rivale,1.26
Viola riviniana,1.33
Helianthemum apenninum,3.10
Erica ciliaris,0.52
Veronica spicata,1.63
Carex depauperata,0.86
Lathyrus linifolius,5.76
Sarracenia purpurea,3.97
Typha latifolia,0.29
Chelidonium majus,1.23
Scrophularia auriculata,1.57
Equisetum arvense,14.12
Equisetum palustre,13.68
Viscum album,86.94
Asplenium ruta - muraria,6.39
Polypodium vulgare,22.50
Clematis vitalba,9.33
Galium aparine,1.05
Impatiens glandulifera,1.00
Buddleja davidii,1.54
Acer campastre,0.79
Ilex aquifolium,1.01
Hedera helix,1.55
Buxus sempervirens,0.89
Geranium  robertianum,1.29
Polygonum aviculare,0.91
Chamaenerion angustifolium,0.84
Euonymus europaeus,0.58
Ranunculus acris,4.83
Suaeda vera,1.23
Scutellaria minor,0.41
Scutellaria galericulata,0.40
Equisetum arvense,14.02
Equisetum hyemale,29.75
Pilularia globulifera,1.02
Huperzia selago,10.43
Huperzia selago,5.11
Huperzia selago,4.92
Huperzia selago,4.94
Huperzia selago,4.91
Huperzia selago,4.87
Huperzia selago,10.26
Huperzia selago,4.92
Alchemilla arvensis,0.41
Ficaria verna,17.74
 Viola odorata,1.03
Primula vulgaris,0.48
Petasites fragrans,3.59
Narcissus pseudonarcissus,12.28
Plagiomnium undulatum,1.11
Kindbergia praelonga,0.40
Mnium hornum,0.97
Atrichum undulatum,2.06
Dichodontium palustre,0.31
Fontinalis antipyretica,1.16
Hylocomium splendens,0.43
Philonotis fontana,0.34
Polytrichum commune,0.51
Campylopus atrovirens,0.28
Racomitrium lanuginosum,0.24
Amphidium mougeotii,0.33
Bryum aplinum,0.58
Bryum julaceum,0.40
Breutelia chrysocoma,0.38
Fissidens osmundoides,0.47
Frullania tamarisci,0.58
Plagiochila porelloides,1.59
Ptilidium ciliare,1.20
