genus,family,order,group,county,county_lat,county_lon,order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
Quercus,Fagaceae,Fagales,Angiosperms,Denbighshire,53.0936506223994,-3.3420341804953,Fagales,Fagaceae,Quercus,Quercus cerris,Qu_cerris_Mariabrunn,48.208164,16.228557,2021-06-17
Malva,Malvaceae,Malvales,Angiosperms,Cornwall,50.448118,-5.158114,Malvales,Malvaceae,Malva,Malva arborea,MC9213,49.959589,-5.207695,2021-06-28
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Devon,50.720015,-3.803525,Lamiales,Orobanchaceae,Euphrasia,Euphrasia anglica,BED-1,50.5135,-4.113306,2019-09-10
Artemisia,Asteraceae,Asterales,Angiosperms,"",,,Asterales,Asteraceae,Artemisia,Artemisia maritima,MC9301,50.7704,-0.1478,2021-09-07
HALIMIONE,,,,"",,,Caryophyllales,Chenopodiaceae,Halimione,HALIMIONE PORTULACOIDES,MC9302,50.7704,-0.1478,2021-09-07
Trifolium,Fabaceae,Fabales,Angiosperms,"",,,Fabales,Fabaceae,Trifolium,Trifolium fragiferum,MC9304,50.7704,-0.1478,2021-09-07
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Hampshire,50.997248,-1.328988,Lamiales,Orobanchaceae,Euphrasia,Euphrasia confusa,WHP-1,50.811333,-1.715972,2019-09-10
Beta,Amaranthaceae,Caryophyllales,Angiosperms,West Sussex,50.931384,-0.507295,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris,SM46,50.8241,-0.3011,2021-09-07
Tamarix,Tamaricaceae,Caryophyllales,Angiosperms,West Sussex,50.931384,-0.507295,Caryophyllales,Tamaricaceae,Tamarix,Tamarix gallica,MC9299,50.8241,-0.3011,2021-09-07
Salicornia,Amaranthaceae,Caryophyllales,Angiosperms,West Sussex,50.931384,-0.507295,Caryophyllales,Chenopodiaceae,Salicornia,Salicornia ramosissima,MC9300,50.8241,-0.3011,2021-09-07
Frankenia,Frankeniaceae,Caryophyllales,Angiosperms,West Sussex,50.931384,-0.507295,Caryophyllales,Frankeniaceae,Frankenia,Frankenia laevis,MC9297,50.825,-0.2959,2021-09-07
Polygala,Polygalaceae,Fabales,Angiosperms,East Sussex,50.952643,0.292389,Fabales,Polygalaceae,Polygala,Polygala amarella,MC9221,51.0677,-0.0902,2021-06-29
Phyteuma,Campanulaceae,Asterales,Angiosperms,East Sussex,50.952643,0.292389,Asterales,Campanulaceae,Phyteuma,Phyteuma spicatum,MC9222,51.0677,-0.0902,2021-06-29
Limonium,Plumbaginaceae,Caryophyllales,Angiosperms,East Sussex,50.952643,0.292389,Caryophyllales,Plumbaginaceae,Limonium,Limonium binervosum,MC9223,51.0677,-0.0902,2021-06-29
Pyrus,Rosaceae,Rosales,Angiosperms,East Sussex,50.952643,0.292389,Rosales,Rosaceae,Pyrus,Pyrus cordata,MC9224,51.0677,-0.0902,2021-06-29
Filago,Asteraceae,Asterales,Angiosperms,East Sussex,50.952643,0.292389,Asterales,Asteraceae,Filago,Filago pyramidata,MC9225,51.0677,-0.0902,2021-06-29
Phyteuma,Campanulaceae,Asterales,Angiosperms,East Sussex,50.952643,0.292389,Asterales,Campanulaceae,Phyteuma,Phyteuma orbiculare,MC9226,51.0677,-0.0902,2021-06-29
Ulex,Fabaceae,Fabales,Angiosperms,East Sussex,50.952643,0.292389,Fabales,Fabaceae,Ulex,Ulex minor,MC9228,51.0686,-0.0896,2021-06-29
Menyanthes,Menyanthaceae,Asterales,Angiosperms,East Sussex,50.952643,0.292389,Asterales,Menyanthaceae,Menyanthes,Menyanthes trifoliata,MC9229,51.0686,-0.0896,2021-06-29
Kickxia,Plantaginaceae,Lamiales,Angiosperms,East Sussex,50.952643,0.292389,Lamiales,Plantaginaceae,Kickxia,Kickxia elatine,MC9231,51.0686,-0.0896,2021-06-29
Teucrium,Lamiaceae,Lamiales,Angiosperms,East Sussex,50.952643,0.292389,Lamiales,Lamiaceae,Teucrium,Teucrium chamaedrys,MC9217,51.0689,-0.0908,2021-06-29
Valeriana,Caprifoliaceae,Dipsacales,Angiosperms,East Sussex,50.952643,0.292389,Dipsacales,Caprifoliaceae,Valeriana,Valeriana officinalis,MC9218,51.0689,-0.0908,2021-06-29
Eryngium,Apiaceae,Apiales,Angiosperms,East Sussex,50.952643,0.292389,Apiales,Apiaceae,Eryngium,Eryngium campestre,MC9220,51.0689,-0.0908,2021-06-29
Brassica,Brassicaceae,Brassicales,Angiosperms,Kent,51.259187,0.72614,Brassicales,Brassicaceae,Brassica,Brassica oleracea,MC 9000,51.1313,1.3412,2020-08-04
Ononis,Fabaceae,Fabales,Angiosperms,Kent,51.259187,0.72614,Fabales,Fabaceae,Ononis,Ononis repens,MC 9001,51.1313,1.3412,2020-08-04
Origanum,Lamiaceae,Lamiales,Angiosperms,Surrey,51.271865,-0.372814,Lamiales,Lamiaceae,Origanum,Origanum vulgare,MC9284,51.2543,-0.3168,2021-08-23
Inula,Asteraceae,Asterales,Angiosperms,Surrey,51.271865,-0.372814,Asterales,Asteraceae,Inula,Inula conyza,MC9285,51.2543,-0.3168,2021-08-23
Blackstonia,Gentianaceae,Gentianales,Angiosperms,Surrey,51.271865,-0.372814,Gentianales,Gentianaceae,Blackstonia,Blackstonia perfoliata,MC9283,51.2563,-0.32,2021-08-23
Malus,Rosaceae,Rosales,Angiosperms,Kent,51.259187,0.72614,Rosales,Rosaceae,Malus,Malus domestica,Decio,51.2859,0.4533,2021-05-24
Malus,Rosaceae,Rosales,Angiosperms,Kent,51.259187,0.72614,Rosales,Rosaceae,Malus,Malus x robusta,Robusta-5,51.2859,0.4533,2021-05-24
Malus,Rosaceae,Rosales,Angiosperms,Kent,51.259187,0.72614,Rosales,Rosaceae,Malus,Malus domestica,Fiesta,51.2859,0.4533,2021-05-24
Malus,Rosaceae,Rosales,Angiosperms,Kent,51.259187,0.72614,Rosales,Rosaceae,Malus,Malus domestica,Park Farm Pippin,51.2859,0.4533,2021-05-24
Ornithopus,Fabaceae,Fabales,Angiosperms,Surrey,51.271865,-0.372814,Fabales,Fabaceae,Ornithopus,Ornithopus perpusillus,MSV2415,51.2884,-0.17861,2021-08-03
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Brown snout,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Bardsey,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Harvey,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Breakwells seedling,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Kingston Black,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Blenheim Orange,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Worcester Pearman,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,Surrey,51.271865,-0.372814,Rosales,Rosaceae,Malus,Malus domestica,Asmeads Kernel,51.309788,-0.47617,2021-05-12
Viscum,Santalaceae,Santalales,Angiosperms,Greater London,51.490777,-0.082497,Santalales,Viscaceae,Viscum,Viscum album,MC 9090,51.4061,-0.3319,2020-09-07
Alchemilla,Rosaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Rosales,Rosaceae,Alchemilla,Alchemilla arvensis,MC9120,51.4075,-0.3209,2021-03-09
Scrophularia,Scrophulariaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Lamiales,Scrophulariaceae,Scrophularia,Scrophularia nodosa,MC 9087,51.4093,-0.317,2020-09-07
Chelidonium,Papaveraceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Ranunculales,Papaveraceae,Chelidonium,Chelidonium majus,MC 9086,51.4111,-0.3108,2020-09-07
Buddleja,Scrophulariaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Lamiales,Scrophulariaceae,Buddleja,Buddleja davidii,MC 9096,51.4136,-0.3077,2020-09-07
Clematis,Ranunculaceae,Ranunculales,Angiosperms,Surrey,51.271865,-0.372814,Ranunculales,Ranunculaceae,Clematis,Clematis vitalba,MC 9093,51.415,-0.3051,2020-09-07
