Institute,ID Number,Genus,Species ,GS (2C),GS (1C),GS (gb)
RBGE,DB1412,Plagiomnium,undulatum,2.27,1.13,1.108548811
,,,,,,
,,,,,,
RBGE,DB1411,Kindbergia,praelonga,0.83,0.41,0.404885401
,,,,,,
,,,,,,
RBGE,DB1414,Mnium,hornum,1.98,0.99,0.966860118
,,,,,,
,,,,,,
RBGE,DB1413,Atrichium,undulatum,4.21,2.11,2.059139714
,,,,,,
,,,,,,
RBGE,DB1415,Dichodontium,palustre,0.63,0.32,0.31016995
,,,,,,
,,,,,,
RBGE,DB1418,Fontinalis,antipyretica,2.38,1.19,1.166069447
,,,,,,
,,,,,,
RBGE,DB1423,Hylocomium,splendens,0.87,0.44,0.425470108
,,,,,,
,,,,,,
RBGE,DB1417,Philonotis,fontana,0.70,0.35,0.340973542
,,,,,,
,,,,,,
RBGE,DB1422,Polythrichhum,commune,1.05,0.52,0.512075121
,,,,,,
,,,,,,
RBGE,DB1424,Campylopus ,atrovirens,0.57,0.29,0.279752811
,,,,,,
,,,,,,
RBGE,DB1425,Racomitrium,lanuginosum,0.51,0.25,0.247110463
,,,,,,
,,,,,,
RBGE,DB1426,Amphidium,mougeotii,0.68,0.34,0.33194198
,,,,,,
,,,,,,
RBGE,DB1427,Bryum,aplinum,1.19,0.59,0.579676896
,,,,,,
,,,,,,
RBGE,DB1428,Bryum,julaceum,0.83,0.41,0.403945256
,,,,,,
,,,,,,
RBGE,DB1431,Breutelia,chrysocoma,0.77,0.39,0.378538517
,,,,,,
,,,,,,
RBGE,DB1432,Fissidens,osmundoides,0.97,0.48,0.472893103
,,,,,,
,,,,,,
RBGE,DB1433,Frullania,tamarisci,1.17,0.59,0.574335972
,,,,,,
,,,,,,
RBGE,DB1434,Plagiochila,porelloides,3.26,1.63,1.594666482
,,,,,,
,,,,,,
RBGE,DB1435,Ptilidium,ciliare,2.46,1.23,1.202232598
,,,,,,
,,,,,,
RBGE,DB1436,Rhytidiadelphus,squarrosus,0.86,0.43,0.420194083
,,,,,,
,,,,,,
RBGE,DB1438,Aulacomnium,palustre,0.78,0.39,0.381886188
,,,,,,
,,,,,,
RBGE,DB1421,Pleurozium ,schreberi,1.64,0.82,0.802819297
,,,,,,
,,,,,,
RBGE,DB1429,Lejeunea,patens,0.43,0.22,0.212214916
,,,,,,
,,,,,,
RBGE,DB1430,Marsupella,emarginata,1.15,0.58,0.564174247
,,,,,,
,,,,,,
RBGE,DB1439,Hylocomiadelphus,triquetrus,1.16,0.58,0.568077542
,,,,,,
,,,,,,
RBGE,DB1440,Rhytidiadelphus,loreus,1.04,0.52,0.506824141
,,,,,,
,,,,,,
RBGE,DB1442,Hypnum,andoi,0.74,0.37,0.36336771
,,,,,,
,,,,,,
