plant_group,genus,species,family,status,priority,collected by feb 2021
Bryophyte,Abietinella,abietina,Thuidiaceae,dtol,,
Bryophyte,Acaulon,mediterraneum,Pottiaceae,dtol,,
Bryophyte,Acaulon,muticum,Pottiaceae,dtol,,
Bryophyte,Acaulon,triquetrum,Pottiaceae,dtol,,
Bryophyte,Achrophyllum,dentatum,Daltoniaceae,dtol,,
Bryophyte,Acrobolbus,wilsonii,Acrobolbaceae,dtol_family_representative,yes,
Bryophyte,Adelanthus,lindenbergianus,Adelanthaceae,dtol_family_representative,yes,
Bryophyte,Aloina,aloides,Pottiaceae,dtol,,
Bryophyte,Aloina,ambigua,Pottiaceae,dtol,,
Bryophyte,Aloina,brevirostris,Pottiaceae,dtol,,
Bryophyte,Aloina,rigida,Pottiaceae,dtol,,
Bryophyte,Amblyodon,dealbatus,Meesiaceae,dtol,,
Bryophyte,Amblystegium,serpens,Amblystegiaceae,dtol,yes,
Bryophyte,Amphidium,lapponicum,Amphidiaceae,dtol_family_representative,yes,
Bryophyte,Amphidium,mougeotii,Amphidiaceae,dtol_family_representative,yes,yes
Bryophyte,Anastrepta,orcadensis,Anastrophyllaceae,dtol,yes,
Bryophyte,Anastrophyllum,alpinum,Anastrophyllaceae,dtol_family_representative,yes,
Bryophyte,Anastrophyllum,donnianum,Anastrophyllaceae,dtol_family_representative,yes,
Bryophyte,Anastrophyllum,hellerianum,Anastrophyllaceae,dtol,,
Bryophyte,Anastrophyllum,joergensenii,Anastrophyllaceae,dtol,,
Bryophyte,Andreaea,hookeri,Andreaeaceae,dtol_family_representative,,
Bryophyte,Andreaea,nivalis,Andreaeaceae,dtol_family_representative,,
Bryophyte,Andreaea,alpestris,Andreaeaceae,dtol,,
Bryophyte,Andreaea,blyttii,Andreaeaceae,dtol,,
Bryophyte,Andreaea,frigida,Andreaeaceae,dtol,,
Bryophyte,Andreaea,megistospora,Andreaeaceae,dtol,,
Bryophyte,Andreaea,mutabilis,Andreaeaceae,dtol,,
Bryophyte,Andreaea,rothii,Andreaeaceae,dtol,yes,
Bryophyte,Andreaea,rupestris,Andreaeaceae,dtol,yes,
Bryophyte,Andreaea,sinuosa,Andreaeaceae,dtol,,
Bryophyte,Aneura,pinguis,Aneuraceae,dtol_family_representative,yes,
Bryophyte,Aneura,mirabilis,Aneuraceae,dtol,yes,
Bryophyte,Anoectangium,aestivum,Pottiaceae,dtol,,
Bryophyte,Anomodon,longifolius,Anomodontaceae,dtol_family_representative,yes,
Bryophyte,Anomodon,viticulosus,Anomodontaceae,dtol_family_representative,yes,yes
Bryophyte,Anthelia,julacea,Antheliaceae,dtol_family_representative,yes,
Bryophyte,Anthelia,juratzkana,Antheliaceae,dtol_family_representative,yes,
Bryophyte,Anthoceros,agrestis,Anthocerotaceae,dtol_family_representative,yes,
Bryophyte,Anthoceros,punctatus,Anthocerotaceae,dtol_family_representative,yes,
Bryophyte,Antitrichia,curtipendula,Antitrichiaceae,dtol_family_representative,yes,
Bryophyte,Aongstroemia,longipes,Aongstroemiaceae,dtol,,
Bryophyte,Aplodon,wormskioldii,Splachnaceae,dtol,,
Bryophyte,Archidium,alternifolium,Archidiaceae,dtol_family_representative,yes,
Bryophyte,Arctoa,anderssonii,Rhabdoweisiaceae,dtol,,
Bryophyte,Arctoa,fulvella,Rhabdoweisiaceae,dtol,,
Bryophyte,Atrichum,angustatum,Polytrichaceae,dtol,,
Bryophyte,Atrichum,crispum,Polytrichaceae,dtol,,
Bryophyte,Atrichum,flavisetum,Polytrichaceae,dtol,,
Bryophyte,Atrichum,tenellum,Polytrichaceae,dtol,,
Bryophyte,Atrichum,undulatum,Polytrichaceae,dtol,,yes
Bryophyte,Aulacomnium,palustre,Aulacomniaceae,dtol_family_representative,yes,yes
Bryophyte,Aulacomnium,turgidum,Aulacomniaceae,dtol_family_representative,yes,
Bryophyte,Aulacomnium,androgynum,Aulacomniaceae,dtol,,
Bryophyte,Neoorthocaulis,floerkei,Anastrophyllaceae,dtol,,yes
Bryophyte,Barbilophozia,barbata,Anastrophyllaceae,dtol,,
Bryophyte,Barbilophozia,hatcheri,Anastrophyllaceae,dtol,,
Bryophyte,Barbilophozia,kunzeana,Anastrophyllaceae,dtol,,
Bryophyte,Barbilophozia,lycopodioides,Anastrophyllaceae,dtol,,
