 ,Genus,species,family,status,priority,collected by feb 2021,,,,,,,
Flowering plants,Adoxa,moschatellina,Adoxaceae,dtol,,,,,,,,,
Flowering plants,Sambucus,ebulus,Adoxaceae,dtol,,,,,,,,,
Flowering plants,Sambucus,nigra,Adoxaceae,dtol_other_priority,yes,yes,,,,,,,
Flowering plants,Viburnum,lantana,Adoxaceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Viburnum,opulus,Adoxaceae,dtol,,,,,,,,,
Flowering plants,Carpobrotus,edulis,Aizoaceae,dtol_other_priority,,,,,,,,,
Flowering plants,Disphyma,crassifolium,Aizoaceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Alisma,gramineum,Alismataceae,dtol,,,,,,,,,
Flowering plants,Alisma,lanceolatum,Alismataceae,dtol,,,,,,,,,
Flowering plants,Alisma,plantago-aquatica,Alismataceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Baldellia,ranunculoides,Alismataceae,dtol,,,,,,,,,
Flowering plants,Damasonium,alisma,Alismataceae,dtol,,,,,,,,,
Flowering plants,Luronium,natans,Alismataceae,dtol,,,,,,,,,
Flowering plants,Sagittaria,latifolia,Alismataceae,dtol,,,,,,,,,
Flowering plants,Sagittaria,sagittifolia,Alismataceae,dtol,,,,,,,,,
Flowering plants,Atriplex,glabriuscula,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,laciniata,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,littoralis,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,longipes,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,patula,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,pedunculata,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,portulacoides,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Atriplex,praecox,Amaranthaceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Atriplex,prostrata,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Blitum,bonus-henricus,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Chenopodiastrum,hybridum,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Chenopodiastrum,murale,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Chenopodium,album,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Chenopodium,ficifolium,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Chenopodium,vulvaria,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Lipandra,polysperma,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Oxybasis,chenopodioides,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Oxybasis,glauca,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Oxybasis,rubra,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Oxybasis,urbica,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,disarticulata,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,dolichostachya,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,emerici,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,europaea,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,fragilis,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,nitens,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Salicornia,obscura,Amaranthaceae,dtol_other_priority,yes,,,,,,,,
Flowering plants,Salicornia,ramosissima,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Sarcocornia,perennis,Amaranthaceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Suaeda,maritima,Amaranthaceae,dtol,,,,,,,,,
Flowering plants,Suaeda,vera,Amaranthaceae,dtol_other_priority,yes,yes,,,,,,,
Flowering plants,Allium,ampeloprasum,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,oleraceum,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,paradoxum,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,schoenoprasum,Amaryllidaceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Allium,scorodoprasum,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,sphaerocephalon,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,triquetrum,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,ursinum,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Allium,vineale,Amaryllidaceae,dtol,,,,,,,,,
Flowering plants,Narcissus,pseudonarcissus,Amaryllidaceae,dtol_other_priority,yes,,,,,,,,
Flowering plants,Aegopodium,podagraria,Apiaceae,dtol,,,,,,,,,
Flowering plants,Aethusa,cynapium,Apiaceae,dtol,,,,,,,,,
Flowering plants,Angelica,archangelica,Apiaceae,dtol,,,,,,,,,
Flowering plants,Angelica,sylvestris,Apiaceae,dtol,,,,,,,,,
Flowering plants,Anthriscus,caucalis,Apiaceae,dtol,,,,,,,,,
Flowering plants,Anthriscus,sylvestris,Apiaceae,dtol_family_representative,yes,,,,,,,,
Flowering plants,Apium,graveolens,Apiaceae,dtol,,,,,,,,,
Flowering plants,Berula,erecta,Apiaceae,dtol,,,,,,,,,
Flowering plants,Bunium,bulbocastanum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Bupleurum,baldense,Apiaceae,dtol,,,,,,,,,
Flowering plants,Bupleurum,rotundifolium,Apiaceae,dtol,,,,,,,,,
Flowering plants,Bupleurum,tenuissimum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Carum,carvi,Apiaceae,dtol,,,,,,,,,
Flowering plants,Caucalis,platycarpos,Apiaceae,dtol,,,,,,,,,
Flowering plants,Chaerophyllum,temulum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Cicuta,virosa,Apiaceae,dtol,,,,,,,,,
Flowering plants,Conium,maculatum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Conopodium,majus,Apiaceae,dtol,,,,,,,,,
Flowering plants,Crithmum,maritimum,Apiaceae,dtol_other_priority,,yes,,,,,,,
Flowering plants,Daucus,carota,Apiaceae,dtol_family_representative,yes,yes,,,,,,,
Flowering plants,Eryngium,campestre,Apiaceae,dtol,,,,,,,,,
Flowering plants,Eryngium,maritimum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Foeniculum,vulgare,Apiaceae,dtol,,,,,,,,,
Flowering plants,Helosciadium,inundatum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Helosciadium,nodiflorum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Helosciadium,repens,Apiaceae,dtol,,,,,,,,,
Flowering plants,Heracleum,mantegazzianum,Apiaceae,dtol_other_priority,yes,,,,,,,,
Flowering plants,Heracleum,sphondylium,Apiaceae,dtol,,,,,,,,,
Flowering plants,Imperatoria,ostruthium,Apiaceae,dtol,,,,,,,,,
Flowering plants,Ligusticum,scoticum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Meum,athamanticum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,aquatica,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,crocata,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,fistulosa,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,fluviatilis,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,lachenalii,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,pimpinelloides,Apiaceae,dtol,,,,,,,,,
Flowering plants,Oenanthe,silaifolia,Apiaceae,dtol,,,,,,,,,
Flowering plants,Pastinaca,sativa,Apiaceae,dtol,,,,,,,,,
Flowering plants,Petroselinum,crispum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Peucedanum,officinale,Apiaceae,dtol,,,,,,,,,
Flowering plants,Physospermum,cornubiense,Apiaceae,dtol,,,,,,,,,
Flowering plants,Pimpinella,major,Apiaceae,dtol,,,,,,,,,
Flowering plants,Pimpinella,saxifraga,Apiaceae,dtol,,,,,,,,,
Flowering plants,Sanicula,europaea,Apiaceae,dtol,,,,,,,,,
Flowering plants,Scandix,pecten-veneris,Apiaceae,dtol,,,,,,,,,
Flowering plants,Selinum,carvifolia,Apiaceae,dtol,,,,,,,,,
Flowering plants,Seseli,libanotis,Apiaceae,dtol,,,,,,,,,
Flowering plants,Silaum,silaus,Apiaceae,dtol,,,,,,,,,
Flowering plants,Sison,amomum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Sison,segetum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Sium,latifolium,Apiaceae,dtol,,,,,,,,,
Flowering plants,Smyrnium,olusatrum,Apiaceae,dtol,,,,,,,,,
Flowering plants,Thysselinum,palustre,Apiaceae,dtol,,,,,,,,,
Flowering plants,Torilis,arvensis,Apiaceae,dtol,,,,,,,,,
Flowering plants,Torilis,japonica,Apiaceae,dtol,,,,,,,,,
Flowering plants,Torilis,nodosa,Apiaceae,dtol,,,,,,,,,
Flowering plants,Trinia,glauca,Apiaceae,dtol,,,,,,,,,
Flowering plants,Trocdaris,verticillata,Apiaceae,dtol,,,,,,,,,
