group,family,genus,species,date
Conifers,Cupressaceae,Juniperus,Juniperus communis,2021-06-08
Conifers,Pinaceae,Pinus,Pinus sylvestris,2021-06-08
Conifers,Taxaceae,Taxus,Taxus baccata,2021-06-08
Ferns & fern allies,Aspleniaceae,Asplenium,Asplenium ruta-muraria,2021-06-08
Ferns & fern allies,Aspleniaceae,Asplenium,Asplenium scolopendrium,2021-06-08
Ferns & fern allies,Aspleniaceae,Asplenium,Asplenium viride,2021-06-08
Ferns & fern allies,Blechnaceae,Blechnum,Blechnum spicant,2021-06-08
Ferns & fern allies,Cystopteridaceae,Gymnocarpium,Gymnocarpium robertianum,2021-06-08
Ferns & fern allies,Dennstaedtiaceae,Pteridium,Pteridium aquilinum,2021-06-08
Ferns & fern allies,Dryopteridaceae,Dryopteris,Dryopteris aemula,2021-06-08
Ferns & fern allies,Equisetaceae,Equisetum,Equisetum arvense,2021-06-08
Ferns & fern allies,Equisetaceae,Equisetum,Equisetum hyemale,2021-06-08
Ferns & fern allies,Equisetaceae,Equisetum,Equisetum palustre,2021-06-08
Ferns & fern allies,Equisetaceae,Equisetum,Equisetum telmateia,2021-06-08
Ferns & fern allies,Lycopodiaceae,Lycopodium,Lycopodium clavatum,2021-06-08
Ferns & fern allies,Marsileaceae,Pilularia,Pilularia globulifera,2021-06-08
Ferns & fern allies,Osmundaceae,Osmunda,Osmunda regalis,2021-06-08
Ferns & fern allies,Polypodiaceae,Polypodium,Polypodium vulgare,2021-06-08
Ferns & fern allies,Pteridaceae,Adiantum,Adiantum capillus-veneris,2021-06-08
Ferns & fern allies,Thelypteridaceae,Oreopteris,Oreopteris limbospermum,2021-06-08
Ferns & fern allies,Thelypteridaceae,Thelypteris,Thelypteris palustris,2021-06-08
Ferns & fern allies,Woodsiaceae,Athyrium,Athyrium distentifolium,2021-06-08
Ferns & fern allies,Woodsiaceae,Athyrium,Athyrium filix-femina,2021-06-08
Ferns & fern allies,Woodsiaceae,Woodsia,Woodsia alpina,2021-06-08
Ferns & fern allies,Woodsiaceae,Woodsia,Woodsia ilvensis,2021-06-08
Flowering plants,Adoxaceae,Adoxa,Adoxa moschatellina,2021-06-08
Flowering plants,Adoxaceae,Sambucus,Sambucus nigra,2021-06-08
Flowering plants,Adoxaceae,Viburnum,Viburnum lantana,2021-06-08
Flowering plants,Amaranthaceae,Suaeda,Suaeda vera,2021-06-08
Flowering plants,Amaryllidaceae,Allium,Allium ampeloprasum,2021-06-08
Flowering plants,Amaryllidaceae,Allium,Allium triquetrum,2021-06-08
Flowering plants,Amaryllidaceae,Allium,Allium ursinum,2021-06-08
Flowering plants,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus,2021-06-08
Flowering plants,Apiaceae,Anthriscus,Anthriscus sylvestris,2021-06-08
Flowering plants,Apiaceae,Crithmum,Crithmum maritimum,2021-06-08
Flowering plants,Apiaceae,Daucus,Daucus carota,2021-06-08
Flowering plants,Apiaceae,Heracleum,Heracleum mantegazzianum,2021-06-08
Flowering plants,Apiaceae,Smyrnium,Smyrnium olusatrum,2021-06-08
Flowering plants,Apocynaceae,Vinca,Vinca minor,2021-06-08
Flowering plants,Aponogetonaceae,Aponogeton,Aponogeton distachyos,2021-06-08
Flowering plants,Aquifoliaceae,Ilex,Ilex aquifolium,2021-06-08
Flowering plants,Araceae,Arum,Arum maculatum,2021-06-08
Flowering plants,Araceae,Lysichiton,Lysichiton americanus,2021-06-08
Flowering plants,Araliaceae,Hedera,Hedera helix,2021-06-08
Flowering plants,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta,2021-06-08
Flowering plants,Asparagaceae,Scilla,Scilla verna,2021-06-08
Flowering plants,Asteraceae,Arctium,Arctium minus,2021-06-08
Flowering plants,Asteraceae,Artemisia,Artemisia absinthium,2021-06-08
Flowering plants,Asteraceae,Bellis,Bellis perennis,2021-06-08
Flowering plants,Asteraceae,Calendula,Calendula officinalis,2021-06-08
Flowering plants,Asteraceae,Chamaemelum,Chamaemelum nobile,2021-06-08
Flowering plants,Asteraceae,Cicerbita,Cicerbita alpina,2021-06-08
Flowering plants,Asteraceae,Eupatorium,Eupatorium cannabinum,2021-06-08
