genus,family,order,group,county,county_lat,county_lon,taxon_name,collector_number,GS_2C,GS_1C,GS_gb,id,collector_name,collection_location,longitude_decimal,latitude_decimal,collection_date_verbatim
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Shetland Islands,59.921060375706,-1.29521038503245,Euphrasia foulaensis,FIH098-1,,,,60093,Alex Twyford,"Shetland Islands, South Lighthouse, Fair Isle",-1.650253991,59.51385501,01/09/2019
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,East Lothian,55.9459201493332,-2.72697188954985,Euphrasia arctica,BER-1,,,,60094,Alex Twyford,"East Lothian, North Berwick Golf Course",-2.706443,56.057022,14/09/2019
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Hampshire,50.997248,-1.328988,Euphrasia confusa,WHP-1,,,,60095,Alex Twyford,"Hampshire, Whitten Pond, New Forest",-1.715972,50.811333,10/09/2019
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Devon,50.720015,-3.803525,Euphrasia anglica,BED-1,,,,60096,Alex Twyford,"Devon, Bedford Bridge, Dartmoor",-4.113306,50.5135,10/09/2019
Prunella,Lamiaceae,Lamiales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Prunella vulgaris,1917,1.44,0.72,0.70416,60097,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,31/08/2020
Fraxinus,Oleaceae,Lamiales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Fraxinus excelsior,1918,1.86,0.93,0.90954,60098,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,31/08/2020
Sorbus,Rosaceae,Rosales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Sorbus aucuparia,1909,1.18,0.59,0.57702,60099,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
Sorbus,Rosaceae,Rosales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Sorbus aucuparia,1909,1.23,0.61,0.59658,60099,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
Frangula,Rhamnaceae,Rosales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Frangula alnus,1894,1.05,0.53,0.51834,60100,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,11/08/2020
Ulmus,Ulmaceae,Rosales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Ulmus glabra,1897,4.3,2.15,2.1027,60101,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,11/08/2020
Cicerbita,Asteraceae,Asterales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Cicerbita alpina,1907,12,6,5.868,60102,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
Luzula,Juncaceae,Poales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Luzula sylvatica,1900,0.53,0.26,0.25428,60103,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,12/08/2020
Alnus,Betulaceae,Fagales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Alnus glutinosa,1898,1.08,0.54,0.52812,60104,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,12/08/2020
Melampyrum,Orobanchaceae,Lamiales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Melampyrum sylvaticum,1908,7.64,3.82,3.73596,60105,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
Quercus,Fagaceae,Fagales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Quercus petraea,1902,2.02,1.01,0.98778,60106,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,12/08/2020
Succisa,Caprifoliaceae,Dipsacales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Succisa pratensis,1903,5.56,2.78,2.71884,60107,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
Taxus,Taxaceae,Pinales,Gymnosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Taxus baccata,1895,25.03,12.52,12.24456,60108,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,11/08/2020
Lathyrus,Fabaceae,Fabales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Lathyrus japonicus,1905,12.79,6.4,6.2592,60109,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
