taxon_name,GS_2C,GS_1C,GS_gb
Plagiomnium undulatum,2.27,1.13,1.108548811
Kindbergia praelonga,0.83,0.41,0.404885401
Mnium hornum,1.98,0.99,0.966860118
Atrichium undulatum,4.21,2.11,2.059139714
Dichodontium palustre,0.63,0.32,0.31016995
Fontinalis antipyretica,2.38,1.19,1.166069447
Hylocomium splendens,0.87,0.44,0.425470108
Philonotis fontana,0.7,0.35,0.340973542
Polythrichhum commune,1.05,0.52,0.512075121
Campylopus atrovirens,0.57,0.29,0.279752811
Racomitrium lanuginosum,0.51,0.25,0.247110463
Amphidium mougeotii,0.68,0.34,0.33194198
Bryum aplinum,1.19,0.59,0.579676896
Bryum julaceum,0.83,0.41,0.403945256
Breutelia chrysocoma,0.77,0.39,0.378538517
Fissidens osmundoides,0.97,0.48,0.472893103
Frullania tamarisci,1.17,0.59,0.574335972
Plagiochila porelloides,3.26,1.63,1.594666482
Ptilidium ciliare,2.46,1.23,1.202232598
Rhytidiadelphus squarrosus,0.86,0.43,0.420194083
Aulacomnium palustre,0.78,0.39,0.381886188
Pleurozium schreberi,1.64,0.82,0.802819297
Lejeunea patens,0.43,0.22,0.212214916
Marsupella emarginata,1.15,0.58,0.564174247
Hylocomiadelphus triquetrus,1.16,0.58,0.568077542
Rhytidiadelphus loreus,1.04,0.52,0.506824141
Hypnum andoi,0.74,0.37,0.36336771
Didymodon insulanus,0.7,0.35,0.340423534
Hypnum cupressiforme,0.87,0.43,0.423573421
Riccardia palmata,2.32,1.16,1.134491412
Thuidium tamariscinum,0.87,0.44,0.426270662
Porella cordeana,2.76,1.38,1.348796858
Neckera pumila,0.87,0.43,0.424441975
Isothecium myosuroides,0.92,0.46,0.449952
Isothecium alopecuroides,1.04,0.52,0.506376825
Pulvigera lyelii,0.72,0.36,0.350727516
Homalothecium sericeum,1.01,0.5,0.492713004
Zygodon viridissimus,0.62,0.31,0.303430005
Thamnobryum alopecurum,0.96,0.48,0.470802689
Palustriella commutata,0.74,0.37,0.361794356
Campylium stellatum,0.86,0.43,0.422040265
Schistidium strictum,0.62,0.31,0.305280686
Ctenidium molluscum,0.85,0.42,0.414880778
Tortella tortuosa,0.73,0.37,0.35917326
Thuidium delicatulum,0.84,0.42,0.409074289
Neckera crispa,1.07,0.54,0.523555149
Tritomaria quinquedentata,2.61,1.3,1.274279614
Grimmia ramondii,0.57,0.29,0.280690873
Ptilium crista-castrensis,0.87,0.43,0.423297874
Palustriella falcata,0.66,0.33,0.321986848
Scorpidium revolvens,1.32,0.66,0.645283919
Metzgeria furcata,1.27,0.63,0.619790809
Encalypta streptocarpa,0.99,0.49,0.483343994
Calliergonella cuspidata,0.82,0.41,0.401327842
Anomodon viticulosus,0.92,0.46,0.45099507
Radula complanata,1.71,0.85,0.834087137
Frullania dilatata,1.31,0.65,0.639804015
Frullania dilatata,1.69,0.85,0.827913555
Lepidozia reptans,1.64,0.82,0.80240361
Dicranella heteromalla,0.72,0.36,0.353175386
Sanionia uncinata,1.55,0.78,0.758326251
Lophocolea bidentata,1.24,0.62,0.608234456
Plagiothecium undulatum,1.06,0.53,0.518296459
Plagiothecium denticulatum,1.02,0.51,0.497924902
Sphagnum inundatum,1.82,0.91,0.888991118
Pogonatum urnigerum,1.21,0.61,0.592881719
Euphorbia lathyris,2.52,1.26,1.23228
Ononis repens,2.86,1.43,1.39854
Orobanche hederae,5.65,2.83,2.76774
Brassica oleracea,1.44,0.72,0.70416
Impatiens noli-tangere,1.54,0.77,0.75306
Circaea lutetiana,1.23,0.61,0.59658
Atropa belladonna,4.29,2.15,2.1027
Papaver dubium,4.84,2.42,2.36676
Fumaria officinalis,1.29,0.64,0.62592
Euphorbia peplus,0.8,0.4,0.3912
Holcus mollis,7.63,3.81,3.72618
Urtica urens,1.02,0.51,0.49878
Urtica dioica,2.45,1.23,1.20294
Persicaria maculosa,3.46,1.73,1.69194
Calystegia sepium,1.48,0.74,0.72372
Lythrum salicaria,3.24,1.62,1.58436
Verbena officinalis,0.72,0.36,0.35208
Arctium minus,4.23,2.11,2.06358
Juncus effusus,0.6,0.3,0.2934
Borago officinalis,3.27,1.64,1.60392
Misopates orontium,1,0.5,0.489
Adiantum capillus-veneris,11.81,5.91,5.77998
Asplenium scolopendrium,17.39,8.69,8.49882
Medicago arabica,1.24,0.62,0.60636
Eupatorium cannabinum,5.49,2.74,2.67972
Convolvulus arvensis,1.31,0.66,0.64548
Stellaria media,2.32,1.16,1.13448
Veronica chamaedrys,3.89,1.94,1.89732
Osmunda regalis,29.05,14.53,14.21034
Bryonia dioica,3.26,1.63,1.59414
Fallopia convolvulus,1.39,0.7,0.6846
Solanum dulcamara,2.47,1.24,1.21272
Vicia cracca,17.61,8.81,8.61618
Stachys palustris,3.52,1.76,1.72128
Humulus lupulus,5.86,2.93,2.86554
Rumex hydrolapathus,12.5,6.25,6.1125
Filipendula ulmaria,0.8,0.4,0.3912
Alnus glutinosa,1.14,0.57,0.55746
Trollius europaeus,9.97,4.98,4.87044
Calluna vulgaris,1.26,0.63,0.61614
Helianthemum nummularium,6.49,3.24,3.16872
Saxifraga oppositifolia,3.15,1.57,1.53546
Hippophae rhamnoides,2.99,1.49,1.45722
Dianthus deltoides,0.97,0.48,0.46944
Oxalis acetosella,5.71,2.86,2.79708
Danthonia decumbens,4.59,2.3,2.2494
Iris pseudacorus,12.15,6.07,5.93646
Armeria maritima,9.25,4.62,4.51836
Lotus corniculatus,2.73,1.36,1.33008
Briza media,6.71,3.36,3.28608
Salix lanata,0.9,0.45,0.4401
Betula nana,1.09,0.54,0.52812
Juniperus communis,22.45,11.23,10.98294
Pteridium aquilinum,17.2,8.6,8.4108
Blechnum spicant,15.11,7.56,7.39368
Lycopodium clavatum,5.85,2.93,2.86554
Myrica gale,0.61,0.3,0.2934
Pinus sylvestris,46.51,23.26,22.74828
Pulicaria dysenterica,2.19,1.1,1.0758
Potentilla anserina,1.12,0.56,0.54768
Arabidopsis thaliana,0.36,0.18,0.17604
Chamaemelum nobile,9.86,4.93,4.82154
Chaenorhinum minus,0.91,0.46,0.44988
Dioscorea communis,2.64,1.32,1.29096
Equisetum telmateia,28.79,14.39,14.07342
Reynoutria japonica,9.93,4.96,4.85088
Cakile maritima,1.73,0.87,0.85086
Honckenya peploides,8.4,4.2,4.1076
Crithmum maritimum,5.11,2.55,2.4939
Mercurialis annua,1.41,0.71,0.69438
Sambucus nigra,27.39,13.69,13.38882
Daucus carota,1.13,0.56,0.54768
Geum urbanum,3.29,1.64,1.60392
Rumex sanguineus,1.77,0.88,0.86064
Parietaria judaica,1.53,0.77,0.75306
Onobrychis viciifolia,2.91,1.46,1.42788
Ailanthus altissima,2.4,1.2,1.1736
Ciceribita muralis,4,2,1.956
Bellis perennis,3.56,1.78,1.74084
Plantago lanceolata,2.92,1.46,1.42788
Linaria vulgaris,1.93,0.96,0.93888
Hypericum perforatum,1.62,0.81,0.79218
Tanacetum vulgare,10.4,5.2,5.0856
Ligustrum vulgare,3.42,1.71,1.67238
Linnaea borealis,2,1,0.978
Lathyrus japonicus,12.79,6.4,6.2592
Taxus baccata,25.03,12.52,12.24456
Cicerbita alpina,12,6,5.868
Succisa pratensis,5.56,2.78,2.71884
Sorbus aucuparia,1.18,0.59,0.57702
Erodium maritimum,1.89,0.95,0.9291
Melampyrum sylvaticum,7.64,3.82,3.73596
Ulmus glabra,4.3,2.15,2.1027
Frangula alnus,1.05,0.53,0.51834
Sorbus aucuparia,1.23,0.61,0.59658
Athyrium distentifolium,15.82,7.91,7.73598
Nymphoides peltata,1.76,0.88,0.86064
Aponogeton distachyos,10.59,5.3,5.1834
Pontederia cordata,1.4,0.7,0.6846
Butomus umbellatus,8.69,4.35,4.2543
Schoenoplectus lacustris,1.34,0.67,0.65526
Fraxinus excelsior,1.86,0.93,0.90954
Quercus petraea,2.02,1.01,0.98778
Prunella vulgaris,1.44,0.72,0.70416
Cornus sanguinea,2.61,1.3,1.2714
Luzula sylvatica,0.53,0.26,0.25428
Plantago lanceolata,2.94,1.47,1.43766
Alnus glutinosa,1.08,0.54,0.52812
Lamium album,1.94,0.97,0.94866
Ballota nigra,2.91,1.45,1.4181
Lysimachia vulgaris,4.61,2.31,2.25918
Comarum palustre,1.4,0.7,0.6846
Pulsatilla vulgaris,25.96,12.98,12.69444
Thymus serpyllum,2.54,1.27,1.24206
Geum rivale,2.58,1.29,1.26162
Viola riviniana,2.73,1.36,1.33008
Helianthemum apenninum,6.34,3.17,3.10026
Erica ciliaris,1.05,0.53,0.51834
