Plant group,Family,Genus,Species,Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGK after jan2021,Notes
Bryophyte,Acrobolbaceae,Acrobolbus,wilsonii,dtol_family_representative,yes,,,,,
Bryophyte,Adelanthaceae,Adelanthus,lindenbergianus,dtol_family_representative,yes,,,,,
Bryophyte,Adelanthaceae,Pseudomarsupidium,decipiens,dtol,,,,,,
Bryophyte,Adelanthaceae,Syzygiella,autumnalis,dtol_family_representative,yes,,,,,
Bryophyte,Amblystegiaceae,Amblystegium,serpens,dtol,yes,,,,,
Bryophyte,Amblystegiaceae,Campyliadelphus,chrysophyllus,dtol,,,,,,
Bryophyte,Amblystegiaceae,Campyliadelphus,elodes,dtol,,,,,,
Bryophyte,Amblystegiaceae,Campylium,bambergeri,dtol,,,,,,
Bryophyte,Amblystegiaceae,Campylium,protensum,dtol,,,,,,
Bryophyte,Amblystegiaceae,Campylium,stellatum,dtol,,yes,,,,
Bryophyte,Amblystegiaceae,Campylophyllopsis,calcarea,dtol,,,,,,
Bryophyte,Amblystegiaceae,Campylophyllum,halleri,dtol,,,,,,
Bryophyte,Amblystegiaceae,Conardia,compacta,dtol,,,,,,
Bryophyte,Amblystegiaceae,Cratoneuron,curvicaule,dtol,,,,,,
Bryophyte,Amblystegiaceae,Cratoneuron,filicinum,dtol,yes,,,,,
Bryophyte,Amblystegiaceae,Drepanocladus,aduncus,dtol,,,,,,
Bryophyte,Amblystegiaceae,Drepanocladus,lycopodioides,dtol,,,,,,
Bryophyte,Amblystegiaceae,Drepanocladus,polygamus,dtol,,,,,,
Bryophyte,Amblystegiaceae,Drepanocladus,sendtneri,dtol,,,,,,
Bryophyte,Amblystegiaceae,Drepanocladus,trifarius,dtol,,,,,,
Bryophyte,Amblystegiaceae,Drepanocladus,turgescens,dtol,,,,,,
Bryophyte,Amblystegiaceae,Hygroamblystegium,fluviatile,dtol,,,,,,
Bryophyte,Amblystegiaceae,Hygroamblystegium,humile,dtol,,,,,,
Bryophyte,Amblystegiaceae,Hygroamblystegium,tenax,dtol,,,,,,
Bryophyte,Amblystegiaceae,Hygroamblystegium,varium,dtol,,,,,,
Bryophyte,Amblystegiaceae,Hygrohypnum,luridum,dtol,,,,,,
Bryophyte,Amblystegiaceae,Hygrohypnum,styriacum,dtol,,,,,,
Bryophyte,Amblystegiaceae,Leptodictyum,riparium,dtol,,,,,,
Bryophyte,Amblystegiaceae,Microhypnum,sauteri,dtol,,,,,,
Bryophyte,Amblystegiaceae,Palustriella,commutata,dtol_family_representative,,yes,,,,
Bryophyte,Amblystegiaceae,Palustriella,falcata,dtol_family_representative,,yes,,,,
Bryophyte,Amblystegiaceae,Palustriella,decipiens,dtol,,,,,,
Bryophyte,Amblystegiaceae,Platyhypnum,duriusculum,dtol,,,,,,
Bryophyte,Amblystegiaceae,Platyhypnum,molle,dtol,,,,,,
Bryophyte,Amblystegiaceae,Platyhypnum,smithii,dtol,,,,,,
Bryophyte,Amblystegiaceae,Pseudocampylium,radicale,dtol,,,,,,
