Plant group,Taxonomic Division,Family,Genus,Species,NCBI name (if different),Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGE after jan2022,Shipping,Notes
bryophyte,Hornwort,Anthocerotaceae,Anthoceros,agrestis,,dtol_other_priority,yes,,,,,,being developed as evo-devo model - genome already in progress in various institutes
bryophyte,Hornwort,Anthocerotaceae,Anthoceros,punctatus,,dtol_family_representative,yes,,,,yes,,genome being done but not from UK material
bryophyte,Hornwort,Notothyladaceae,Phaeoceros,carolinianus,,dtol_other_priority,yes,,,,,,genome being sequenced elsewhere
bryophyte,Hornwort,Notothyladaceae,Phaeoceros,laevis,,dtol_family_representative,yes,,,,yes,,
bryophyte,Liverwort,Acrobolbaceae,Acrobolbus,wilsonii,,dtol_family_representative,yes,,,,,,Rare and usually present in small quantities
bryophyte,Liverwort,Adelanthaceae,Adelanthus,lindenbergianus,,dtol_other_priority,yes,,,,,,"Very rare (only 2 hectads in Britain, 8 in Ireland), although stems are bigger than other two family members"
bryophyte,Liverwort,Adelanthaceae,Pseudomarsupidium,decipiens,,dtol,,,,,,,
bryophyte,Liverwort,Adelanthaceae,Syzygiella,autumnalis,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Anastrepta,orcadensis,,dtol,,,,yes,,RBGE_000014,
bryophyte,Liverwort,Anastrophyllaceae,Anastrophyllum,alpinum,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Anastrophyllum,donnianum,,dtol_family_representative,yes,,,yes,,RBGE_000014,
bryophyte,Liverwort,Anastrophyllaceae,Anastrophyllum,hellerianum,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Anastrophyllum,joergensenii,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Barbilophozia,barbata,,dtol,,,,yes,,RBGE_000019,
bryophyte,Liverwort,Anastrophyllaceae,Barbilophozia,hatcheri,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Barbilophozia,kunzeana,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Barbilophozia,lycopodioides,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Barbilophozia,quadriloba,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Barbilophozia,sudetica,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Biantheridion,undulifolium,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Gymnocolea,inflata,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Isopaches,bicrenatus,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Orthocaulis,atlanticus,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Orthocaulis,attenuatus,,dtol,,,,yes,,RBGE_000021,
bryophyte,Liverwort,Anastrophyllaceae,Orthocaulis,floerkei,,dtol,,,,yes,,,
bryophyte,Liverwort,Anastrophyllaceae,Sphenolobopsis,pearsonii,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Sphenolobus,minutus,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Sphenolobus,saxicola,,dtol,,,,,,,
bryophyte,Liverwort,Anastrophyllaceae,Tetralophozia,setiformis,,dtol,,,,,,,
bryophyte,Liverwort,Aneuraceae,Aneura,mirabilis,,dtol,,,,,yes,,only non-photosynthetic bryophyte - but v. large genome
bryophyte,Liverwort,Aneuraceae,Aneura,pinguis,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Aneuraceae,Riccardia,chamedryfolia,,dtol,,,,,,,
bryophyte,Liverwort,Aneuraceae,Riccardia,incurvata,,dtol,,,,,,,
bryophyte,Liverwort,Aneuraceae,Riccardia,latifrons,,dtol,,,,,,,
bryophyte,Liverwort,Aneuraceae,Riccardia,multifida,,dtol,,,,,,,
