Institute,ID Number,Project,Higher Group,Family,Genus,Species ,Standard,Buffer,mean1,mean2,cv1,cv2,ratio,ave.sample,ave.standard,GS pg (2C),GS pg (1C),1C/Gbp,cv.sample,cv.standard,SD(R).sample,measured by,Date,DToL Specimen ID,Previous estimate (2C) (prime*),Comments on DToL sample,,,,,
MSB,911359,UK Flora,,,Schoenoplectus,triqueter,<Petro,GPB3%PVPBmet,162.05,514.83,3.05,1.67,3.177,160.4466667,510.02,1.42,0.71,0.69,3.09,1.97,0.004,Robyn Powell,,,,,,,,,
,,,,,,,,,160.27,509,3.23,2.29,3.176,,,,,,,,,,,,,,,,,,
,,,,,,,,,159.02,506.23,3,1.94,3.183,,,,,,,,,,,,,,,,,,
MSB,911371,UK Flora,,,Schoenoplectus,triqueter,<Petro,GPB3%PVPBmet,158.22,504.38,3.51,2.22,3.188,157.68,501.3366667,1.42,0.71,0.69,3.04,2.00,0.009,Robyn Powell,,,,,,,,,
,,,,,,,,,158.11,501.26,3.21,2.15,3.170,,,,,,,,,,,,,,,,,,
,,,,,,,,,156.71,498.37,2.4,1.64,3.180,,,,,,,,,,,,,,,,,,
MSB,668125,UK Flora,,,Blysmus,compressus,>Solanum,GPB3%PVPBmet,144.5,291.04,3.31,3.4,2.014,290.4733333,144.33,4.03,2.01,1.97,3.28,3.29,0.008,Robyn Powell,,,,,,,,,
,,,,,,,,,143.56,290.02,3.41,3.08,2.020,,,,,,,,,,,,,,,,,,
,,,,,,,,,144.93,290.36,3.14,3.37,2.004,,,,,,,,,,,,,,,,,,
MSB,109350,UK Flora,,,Alchemilla ,acutiloba,<Petro,GPB3%PVPBmet,275.69,321.15,3.19,2.39,1.165,275.8933333,320.6933333,3.87,1.94,1.89,3.37,2.36,0.003,Robyn Powell,,,,,,,,,
,,,,,,,,,275.33,319.21,3.35,2.36,1.159,,,,,,,,,,,,,,,,,,
,,,,,,,,,276.66,321.72,3.57,2.32,1.163,,,,,,,,,,,,,,,,,,
MSB,945442,UK Flora,,,Hieracium ,ochthophilum,<Petro,GPB3%PVPBmet,133.61,447.17,4.27,3.33,3.347,137.1833333,458.1533333,1.35,0.67,0.66,3.60,2.72,0.012,Robyn Powell,,,,,,,,,
,,,,,,,,,138.72,464.25,3.29,2.23,3.347,,,,,,,,,,,,,,,,,,
,,,,,,,,,139.22,463.04,3.23,2.61,3.326,,,,,,,,,,,,,,,,,,
MSB,882626,UK Flora,,,Hieracium ,glaucinum subsp. petiolare,>Petro,GPB3%PVPBmet,123.42,303.64,2.82,2.42,2.460,305.7133333,124.56,11.04,5.52,5.40,2.37,3.05,0.006,Robyn Powell,,,,,,,,,
,,,,,,,,,125.52,307.21,2.94,2.4,2.448,,,,,,,,,,,,,,,,,,
,,,,,,,,,124.74,306.29,3.4,2.28,2.455,,,,,,,,,,,,,,,,,,
MSB,891480,UK Flora,,,Hieracium ,rubicundiforme,>Petro,GPB3%PVPBmet,124.21,410.33,4.16,4.27,3.304,415.4166667,126.8933333,14.73,7.37,7.20,3.67,3.63,0.028,Robyn Powell,,,,,,,,,
,,,,,,,,,127.31,416.47,3.45,3.17,3.271,,,,,,,,,,,,,,,,,,
,,,,,,,,,129.16,419.45,3.28,3.57,3.248,,,,,,,,,,,,,,,,,,
MSB,854535,UK Flora,,,Hieracium ,pugsleyi,>Petro,GPB3%PVPBmet,124.14,447.74,3.94,3.1,3.607,451.68,125.325,16.22,8.11,7.93,2.45,3.27,0.004,Robyn Powell,,,,,,,,,
,,,,,,,,,126.51,455.62,2.6,1.8,3.601,,,,,,,,,,,,,,,,,,
MSB,117162,UK Flora,,,Hieracium ,perscitum,>Petro,,131.61,457.41,3.52,2.79,3.476,466.3833333,134.7666667,15.57,7.79,7.62,2.49,3.12,0.015,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,134.94,466.96,3.11,2.53,3.460,,,,,,,,,,,,,,,,,,
,,,,,,,,,137.75,474.78,2.73,2.15,3.447,,,,,,,,,,,,,,,,,,
MSB,939184,UK Flora,,,Hieracium ,promontoriale,>Petro,,124.79,407.6,3.7,4.07,3.266,413.0166667,127,14.63,7.32,7.16,3.85,4.01,0.036,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,126.11,413.64,4.78,3.69,3.280,,,,,,,,,,,,,,,,,,
,,,,,,,,,130.1,417.81,3.56,3.79,3.211,,,,,,,,,,,,,,,,,,
MSB,944515,UK Flora,,,Hieracium ,hjeltii,>Petro,,167.8,402.57,3.85,3.34,2.399,411.6933333,172.95,10.71,5.36,5.24,3.03,3.63,0.025,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,173.95,415.91,3.51,2.72,2.391,,,,,,,,,,,,,,,,,,
,,,,,,,,,177.1,416.6,3.52,3.04,2.352,,,,,,,,,,,,,,,,,,
MSB,944641,UK Flora,,,Hieracium ,lachenalii subsp. lortetiae,>Petro,,132.6,342.5,3.83,2.84,2.583,349.9133333,137.42,11.46,5.73,5.60,2.60,3.25,0.033,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,138.23,350.95,3.1,2.64,2.539,,,,,,,,,,,,,,,,,,
,,,,,,,,,141.43,356.29,2.82,2.32,2.519,,,,,,,,,,,,,,,,,,
MSB,939209,UK Flora,,,Hieracium ,lepiduloides,>Petro,,169.47,428.81,2.75,3.4,2.530,435.02,173.51,11.28,5.64,5.52,3.16,2.67,0.023,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,172.84,433.44,2.52,3.15,2.508,,,,,,,,,,,,,,,,,,
,,,,,,,,,178.22,442.81,2.75,2.93,2.485,,,,,,,,,,,,,,,,,,
MSB,854579,UK Flora,,,Hieracium ,amaurostictum,>Petro,,163.81,572.19,2.87,2.59,3.493,576.5633333,165.73,15.66,7.83,7.66,2.27,2.42,0.020,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,165.6,577.1,2.42,2.12,3.458,,,,,,,,,,,,,,,,,,
,,,,,,,,,167.78,580.4,1.96,2.09,3.459,,,,,,,,,,,,,,,,,,
