Plant group,Family,Genus,Species,Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGK after jan2021,Notes
Conifers,Cupressaceae,Juniperus,communis,dtol_family_representative,yes,yes,,,,
Conifers,Pinaceae,Pinus,sylvestris,dtol_family_representative,yes,yes,,,,
Conifers,Pinaceae,Pseudotsuga,menziesii,dtol_family_representative,yes,,,,yes,
Conifers,Taxaceae,Taxus,baccata,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,adiantum-nigrum,dtol,,,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,ceterach,dtol,,,,,yes,
Ferns & fern allies,Aspleniaceae,Asplenium,marinum,dtol,,,,,yes,
Ferns & fern allies,Aspleniaceae,Asplenium,obovatum,dtol,,,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,onopteris,dtol,,,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,ruta-muraria,dtol_other_priority,,yes,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,scolopendrium,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,septentrionale,dtol,,,,,,
Ferns & fern allies,Aspleniaceae,Asplenium,trichomanes,dtol,,,,,yes,subsp. quadrivalens
Ferns & fern allies,Aspleniaceae,Asplenium,viride,dtol_family_representative,yes,,,yes,,
Ferns & fern allies,Blechnaceae,Blechnum,spicant,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Cystopteridaceae,Cystopteris,alpina,dtol,,,,,,
Ferns & fern allies,Cystopteridaceae,Cystopteris,diaphana,dtol,,,,,,
Ferns & fern allies,Cystopteridaceae,Cystopteris,dickieana,dtol,,,,,,
Ferns & fern allies,Cystopteridaceae,Cystopteris,fragilis,dtol,,,,,,
Ferns & fern allies,Cystopteridaceae,Cystopteris,montana,dtol_family_representative,yes,,,yes,,
Ferns & fern allies,Cystopteridaceae,Gymnocarpium,dryopteris,dtol,,,,,,
Ferns & fern allies,Cystopteridaceae,Gymnocarpium,robertianum,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Dennstaedtiaceae,Pteridium,aquilinum,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,aemula,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,affinis,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,carthusiana,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,cristata,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,dilatata,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,expansa,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,filix-mas,dtol,,,,,yes,
Ferns & fern allies,Dryopteridaceae,Dryopteris,oreades,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,remota,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Dryopteris,submontana,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Polystichum,aculeatum,dtol,,,,,,
Ferns & fern allies,Dryopteridaceae,Polystichum,lonchitis,dtol_family_representative,yes,,,yes,,
Ferns & fern allies,Dryopteridaceae,Polystichum,setiferum,dtol,,,,,yes,
Ferns & fern allies,Equisetaceae,Equisetum,arvense,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Equisetaceae,Equisetum,fluviatile,dtol,,,,,,
Ferns & fern allies,Equisetaceae,Equisetum,hyemale,dtol_family_representative,yes,yes,,,,
Ferns & fern allies,Equisetaceae,Equisetum,palustre,dtol_other_priority,,yes,,,,
Ferns & fern allies,Equisetaceae,Equisetum,pratense,dtol,,,,,,
Ferns & fern allies,Equisetaceae,Equisetum,ramosissimum,dtol,,,,,,
Ferns & fern allies,Equisetaceae,Equisetum,sylvaticum,dtol,,,,yes,,
Ferns & fern allies,Equisetaceae,Equisetum,telmateia,dtol_other_priority,,yes,,,,
Ferns & fern allies,Equisetaceae,Equisetum,variegatum,dtol,,,,,yes,
Ferns & fern allies,Hymenophyllaceae,Hymenophyllum,tunbrigense,dtol_family_representative,yes,,,yes,,
Ferns & fern allies,Hymenophyllaceae,Hymenophyllum,wilsonii,dtol,,,,,,
Ferns & fern allies,Hymenophyllaceae,Trichomanes,speciosum,dtol_family_representative,yes,,,RBGE,,
Ferns & fern allies,Isoetaceae,Isoetes,echinospora,dtol_family_representative,yes,,,RBGE,,
Ferns & fern allies,Isoetaceae,Isoetes,histrix,dtol,,,,,,
Ferns & fern allies,Isoetaceae,Isoetes,lacustris,dtol_family_representative,yes,,,RBGE,,
Ferns & fern allies,Lycopodiaceae,Diphasiastrum,alpinum,dtol_family_representative,yes,,,yes,,
Ferns & fern allies,Lycopodiaceae,Huperzia,selago,dtol,,,,yes,,
Ferns & fern allies,Lycopodiaceae,Lycopodiella,inundata,dtol,,,,,,
